CATEGORY,NAME OF BRAND,ADDRESS,POSTAL CODE
Food Court,Five Star Hainanese K,7 Cheong Chin Nam Road Singapore 599732,599732
Food Court,Five Star Hainanese K,419 River Valley Road Singapore 248318,248318
Food Court,Five Star Hainanese K,191 East Coast Road Singapore 428897,428897
Food Court,Flame Cafe,73 Upper Paya Lebar Road Centro Bianco #01-01 Singapore 534801,534818
Food Court,Food Canopy,"1 Pasir Ris East Drive 4, #01-07, Singapore 519457",519457
Food Court,Food Junction,"#03-19, 2 Tampines Central 5, Singapore 529509",529509
Food Court,Food Junction,"#01-01, 11 Rivervale Cres, Singapore 545082",545082
Food Court,Food Junction,"#04-01, 9 Bishan Pl, Junction 8, Singapore 579837",579837
Food Court,Food Junction,"#04-15, 21 Choa Chu Kang Ave 4, Singapore 689812",689812
Food Court,Food Junction,"United Square Shopping Mall, 101 Thomson Road, #B1-02/57/59/56M/N/P/Q, Singapore 307591",307591
Food Court,Food More,50 Pasir Panjang Road #03-51 Mapletree Business City,117384
Food Court,Food More,"12 Kallang Ave, Aperia #02-16",339511
Food Court,Food Republic,"#B2-63/64/65/66, 23 Serangoon Central Singapore 556083",556083
Food Court,Food Republic,"#01-06/07/08, 30 Tai Seng Street, Singapore 534013",534013
Food Court,Food Republic,"#B1-28/29, 3 Gateway Drive Singapore 608532",608532
Food Court,Food Republic,"City Square Mall, 180 Kitchener Road, #04-31/32 Singapore 208539",208539
Food Court,Formosa Delight,"Food Republic @ 112 Katong Level 4, 112 East Coast Road, 428802",4288802
Food Court,Formosa Delight,"Food Republic @ 313@Somerset Level 5, 313 Orchard Road, 238895",238895
Food Court,Formosa Delight,"Food Junction @ Bugis Junction Level 3, 200 Victoria Street, 188021",188021
Food Court,Formosa Delight,"Food Republic @ Causeway Point Level 4, 1 Woodlands Square, 738099",738099
Food Court,Formosa Delight,"Food Republic @ Nex Basement 2, 23 Serangoon Central, 556083",556083
Food Court,Formosa Delight,"Food Republic @ Parkway Parade Parkway Parade Basement 1, 80 Marine Parade Road, 449269",449269
Food Court,Formosa Delight,"Food Republic @ Suntec City Mall Basement 1, 3 Temasek Boulevard, 038983",38983
Food Court,Formosa Delight,"Food Republic @ BreadTalk IHQ Breadtalk #01-06/07/08, 30 Tai Seng Street, 534013",534013
Cafe (Food),Formosa Delight,"Food Republic @ VivoCity Level 3, 1 Harbourfront Walk, 098585",98585
Cafe (Food),NAME OF BRAND,ADDRESS,POSTAL CODE
Cafe (Food),Formosa Delight,"Food Republic @ Wisma Atria Level 4, 435 Orchard Road, 238877",238877
Cafe (Drink),Formosa Delight,"?∞ÊπæÊ∏ÖÁ≤•Â∞èË? (Casual Dining) 20 Clementi Road, 129749",129749
Cafe (Drink),Formosa Delight,Food Junction @ 3 Simei Street 6 Level 4,528833
Cafe (Drink),Formosa Delight,The Food Place @ 252 North Bridge Road Level 4,179103
Cafe (Drink),Fresh Fruit Lab,351 Changi Rd Singapore 419818,419818
Cafe (Drink),Fresh Fruit Lab,28 Clementi Rd Singapore 129754,129754
Cafe (Drink),Garden Fresh,1 Depot Road  #02-02 DSTA Singapore 109679,109679
Cafe (Drink),Gelare,313 Orchard Road #B1-15 313@Somerset Singapore 238895,238895
Cafe (Drink),Gelare,201 Victoria Street #05-10 Bugis+ Singapore 188067,188067
Cafe (Drink),Gelare,1 Woodlands Square Level #3-K6/7/8 Causeway Point Singapore 738099,738099
Cafe (Drink),Gelare,1 Sengkang Square #01-46 Compass One Singapore 545078,545078
Cafe (Drink),Gelare,17 Petir Road Hillion Mall #B1-31/32 Singapore 678278,678278
Cafe (Drink),Gelare,2 Jurong East Street 21 #01-22A IMM Building Singapore 609601,609601
Cafe (Drink),Gelare,11 Tanjong Katong Road KINEX Mall #03-K1 Singapore 437157,437157
Cafe (Drink),Gelare,333 Boon Lay Way Level 1 (Kidz Amaze) SAFRA Jurong Singapore 649848,649848
Restaurant,Gelare,10 Tampines Central Tampines 1 #04-K2/3/8 Singapore 529536,529536
Restaurant,Gelare,1 Vista Exchange Green #02-27 The Star Vista Singapore 138617,138617
